index,axis-0,axis-1,axis-2
189.0,474.0,1620.7143969884553,1314.2835551463338
190.0,474.0,1627.1158433252838,1316.112539813999
191.0,474.0,1357.4545309196537,1313.4702632034137
192.0,474.0,1321.2910207201633,1381.9027517347572
193.0,474.0,1366.5417719441411,1254.4959234934756
194.0,474.0,1447.5851255706914,1262.0995333302915
195.0,474.0,1521.229611188754,560.9068100244318
196.0,474.0,1373.2205720915526,692.7613196658738
197.0,474.0,1407.6711543787824,815.1787292279275
198.0,474.0,1465.3473167995082,673.8628586022265
199.0,474.0,1481.2509476172684,725.8128879391693
200.0,474.0,1765.1341419540477,817.9406549742824
201.0,474.0,1664.4364311774461,1308.588997934305
202.0,474.0,1654.3736194564317,1328.3858009000119
203.0,474.0,1660.7170846442393,1324.0497614045485
204.0,474.0,1643.292629634692,1341.072731275627
205.0,474.0,1645.2197582993424,1343.7225331895213
206.0,474.0,1647.4680750747677,1339.7879788325267
207.0,474.0,1605.6238721374195,1262.395294222045
208.0,474.0,1592.854389081024,1255.268140888243
209.0,474.0,1592.062483155046,1295.259390150133
210.0,474.0,1591.0726007475735,1288.5281897793197
211.0,474.0,1544.5697886675941,1242.1047182074435
212.0,474.0,1621.3555294377268,1194.1570610749623
213.0,437.0,1539.0536035574653,1557.8330455157138
214.0,437.0,1527.3729911492894,1538.9262915329884
215.0,437.0,1527.966920593773,1528.928479217516
216.0,437.0,1521.2357202229598,1534.9667619030984
217.0,437.0,1520.5428025377291,1539.520220977472
218.0,437.0,1518.2660730005423,1546.8453507927688
219.0,437.0,1520.1468495747401,1556.4472101452523
220.0,437.0,1509.654096055531,1538.0353973662632
221.0,437.0,1498.6664013325858,1542.2918917183952
222.0,437.0,1495.9937188324102,1546.0534448667909
223.0,437.0,1493.4200245729814,1551.6957745893842
224.0,437.0,1490.3513891098166,1552.9826217190985
225.0,437.0,1495.597765869421,1520.5144787539996
226.0,437.0,1491.3412715172894,1518.9306669020434
227.0,437.0,1489.3615067023443,1524.177043661648
228.0,437.0,1485.2040005909598,1520.0195375502633
229.0,437.0,1477.779882534916,1521.801325883714
230.0,437.0,1472.9294587383004,1521.009419957736
231.0,437.0,1468.1780231824323,1526.6517496803294
232.0,437.0,1465.6043289230038,1515.0701255129009
233.0,437.0,1462.1397404968498,1514.4761960684173
234.0,437.0,1465.5053406822565,1503.2905248639777
235.0,437.0,1471.3456468863444,1494.777536159714
236.0,437.0,1466.5942113304761,1491.3129477335601
237.0,437.0,1456.794375496498,1508.041960419846
238.0,437.0,1452.8348458666082,1510.1207134755382
239.0,437.0,1454.9135989223005,1512.9913724572084
240.0,437.0,1453.5277635518391,1502.1026659750107
241.0,437.0,1453.3297870703445,1497.549206900637
242.0,437.0,1448.8753162367182,1494.6785479189668
243.0,437.0,1447.7864455884983,1496.6583127339118
244.0,437.0,1446.895551421773,1485.9675827332085
245.0,437.0,1443.9259041993555,1488.937229955626
246.0,437.0,1444.915786606828,1492.3028301410327
247.0,437.0,1451.0530575331577,1513.8822666239337
248.0,437.0,1447.3904926255093,1514.0802431054283
249.0,437.0,1444.9157866068279,1511.5065488459998
250.0,437.0,1442.936021791883,1516.5549491241095
251.0,437.0,1443.0350100326302,1521.0094199577359
252.0,437.0,1444.7178101253335,1523.781090698659
253.0,437.0,1460.3579521633994,1527.740620328549
254.0,437.0,1443.8269159586082,1535.3627148660876
255.0,437.0,1445.0147748475752,1532.2940794029228
256.0,437.0,1436.4027979025643,1540.1141504219556
257.0,437.0,1429.0776680872675,1532.0961029214282
258.0,437.0,1440.0653628102125,1508.6358898643293
259.0,437.0,1436.8977391063006,1512.7933959757142
260.0,437.0,1433.3341624393995,1508.7348781050769
261.0,437.0,1430.1665387354874,1503.3895131047252
262.0,437.0,1430.1665387354874,1496.9552774561537
263.0,437.0,1434.324044846872,1492.3028301410327
264.0,437.0,1432.9382094764105,1489.3331829186152
265.0,437.0,1435.8088684580807,1478.1475117141756
266.0,437.0,1441.3522099399272,1474.0889938435382
267.0,437.0,1429.572609291004,1470.6244054173844
268.0,437.0,1432.3442800319272,1473.8910173620438
269.0,437.0,1427.592844476059,1477.9495352326812
270.0,437.0,1429.6715975317513,1491.1149712520657
271.0,437.0,1426.1080208648502,1492.8967595855163
272.0,437.0,1423.5343266054217,1494.2825949559779
273.0,437.0,1426.1080208648502,1499.2320069933405
274.0,437.0,1418.635817689566,1535.7327222471736
275.0,437.0,1415.3436395541216,1531.2360886963227
276.0,437.0,1415.5042336095091,1527.1409402839406
277.0,437.0,1412.854431695615,1521.2792572622957
278.0,437.0,1419.4387879665037,1516.5417326283634
279.0,437.0,1415.584530637203,1509.8770793297808
