structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Crus 1,0.0,0.0,0.0,0.836463,0.889281,1.725744,0.0,0.0
Crus 2,1.0,0.0,1.0,0.807089,0.7845749999999999,1.5916639999999995,1.2390207275777518,0.0
Cuneate nucleus,267.0,731.0,998.0,0.108999,0.105109,0.214108,2449.563757465665,6954.6851363822325
Cuneiform nucleus,0.0,9.0,9.0,0.097351,0.103806,0.2011569999999999,0.0,86.70019074041963
Declive (VI),0.0,0.0,0.0,0.547667,0.522624,1.070291,0.0,0.0
"Dentate gyrus, granule cell layer",0.0,0.0,0.0,0.313714,0.288879,0.6025929999999999,0.0,0.0
"Dentate gyrus, molecular layer",1.0,0.0,1.0,0.839704,0.771697,1.611401,1.1908958394862952,0.0
"Dentate gyrus, polymorph layer",0.0,0.0,0.0,0.136438,0.1221599999999999,0.258598,0.0,0.0
Dentate nucleus,1.0,0.0,1.0,0.0375729999999999,0.0346599999999999,0.0722329999999999,26.614856412849726,0.0
Diagonal band nucleus,0.0,1.0,1.0,0.130718,0.125265,0.2559829999999999,0.0,7.983075879136232
"Dorsal auditory area, layer 1",0.0,0.0,0.0,0.0432269999999999,0.0364209999999999,0.079648,0.0,0.0
"Dorsal auditory area, layer 2/3",0.0,0.0,0.0,0.066525,0.055374,0.121899,0.0,0.0
"Dorsal auditory area, layer 4",0.0,1.0,1.0,0.025233,0.0209409999999999,0.0461739999999999,0.0,47.75321140346711
"Dorsal auditory area, layer 5",20.0,140.0,160.0,0.0629899999999999,0.0523169999999999,0.1153069999999999,317.5107159866651,2675.9944186402176
"Dorsal auditory area, layer 6a",0.0,0.0,0.0,0.034026,0.028107,0.062133,0.0,0.0
"Dorsal auditory area, layer 6b",0.0,0.0,0.0,0.005541,0.0045449999999999,0.010086,0.0,0.0
Dorsal cochlear nucleus,1.0,0.0,1.0,0.064383,0.067699,0.1320819999999999,15.532050385971454,0.0
Dorsal motor nucleus of the vagus nerve,10.0,63.0,73.0,0.061306,0.063771,0.125077,163.11617133722638,987.9098649856519
Dorsal nucleus raphe,0.0,0.0,0.0,0.026827,0.027451,0.054278,0.0,0.0
"Dorsal part of the lateral geniculate complex, core",0.0,0.0,0.0,0.1108099999999999,0.1024399999999999,0.21325,0.0,0.0
"Dorsal part of the lateral geniculate complex, ipsilateral zone",0.0,0.0,0.0,0.0231399999999999,0.022744,0.0458839999999999,0.0,0.0
"Dorsal part of the lateral geniculate complex, shell",0.0,0.0,0.0,0.050751,0.046034,0.096785,0.0,0.0
Dorsal peduncular area,4.0,2.0,6.0,0.1346669999999999,0.114576,0.249243,29.702896775008004,17.45566261695294
Dorsal premammillary nucleus,0.0,0.0,0.0,0.017481,0.018889,0.03637,0.0,0.0
Dorsal tegmental nucleus,0.0,0.0,0.0,0.023635,0.025054,0.0486889999999999,0.0,0.0
Dorsal terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.002228,0.002366,0.004594,0.0,0.0
Dorsomedial nucleus of the hypothalamus,41.0,38.0,79.0,0.075824,0.0759099999999999,0.1517339999999999,540.7258915382992,500.5928072717699
Ectorhinal area/Layer 1,0.0,0.0,0.0,0.036784,0.0422429999999999,0.0790269999999999,0.0,0.0
Ectorhinal area/Layer 2/3,0.0,0.0,0.0,0.065256,0.073151,0.138407,0.0,0.0
Ectorhinal area/Layer 5,0.0,0.0,0.0,0.074377,0.079692,0.154069,0.0,0.0
Ectorhinal area/Layer 6a,2.0,0.0,2.0,0.057469,0.0595669999999999,0.117036,34.801371174024254,0.0
Ectorhinal area/Layer 6b,0.0,0.0,0.0,0.008503,0.0090569999999999,0.01756,0.0,0.0
Edinger-Westphal nucleus,10.0,21.0,31.0,0.0053549999999999,0.005418,0.010773,1867.4136321195494,3875.968992248062
"Endopiriform nucleus, dorsal part",24.0,0.0,24.0,0.4069669999999999,0.3985519999999999,0.8055189999999999,58.97284054972518,0.0
"Endopiriform nucleus, ventral part",7.0,0.0,7.0,0.194581,0.175924,0.370505,35.97473545721319,0.0
"Entorhinal area, lateral part, layer 1",0.0,2.0,2.0,0.206454,0.251204,0.457658,0.0,7.96165666151813
"Entorhinal area, lateral part, layer 2",0.0,0.0,0.0,0.311857,0.3717229999999999,0.68358,0.0,0.0
"Entorhinal area, lateral part, layer 3",0.0,1.0,1.0,0.2294169999999999,0.2617319999999999,0.4911489999999999,0.0,3.820702092216467
"Entorhinal area, lateral part, layer 5",0.0,1.0,1.0,0.234861,0.260138,0.4949989999999999,0.0,3.8441135089836935
"Entorhinal area, lateral part, layer 6a",0.0,0.0,0.0,0.162552,0.179553,0.342105,0.0,0.0
"Entorhinal area, medial part, dorsal zone, layer 1",0.0,0.0,0.0,0.3439069999999999,0.2819149999999999,0.6258219999999999,0.0,0.0
"Entorhinal area, medial part, dorsal zone, layer 2",0.0,1.0,1.0,0.329225,0.280024,0.6092489999999999,0.0,3.57112247521641
"Entorhinal area, medial part, dorsal zone, layer 3",0.0,3.0,3.0,0.2397149999999999,0.208723,0.448438,0.0,14.373116522855652
"Entorhinal area, medial part, dorsal zone, layer 5",0.0,0.0,0.0,0.202284,0.178286,0.3805699999999999,0.0,0.0
"Entorhinal area, medial part, dorsal zone, layer 6",0.0,0.0,0.0,0.121761,0.109998,0.231759,0.0,0.0
Ethmoid nucleus of the thalamus,0.0,0.0,0.0,0.06455,0.0754119999999999,0.1399619999999999,0.0,0.0
External cuneate nucleus,20.0,6.0,26.0,0.0566599999999999,0.048642,0.1053019999999999,352.9827038475121,123.35019119279636
Facial motor nucleus,78.0,267.0,345.0,0.2717199999999999,0.2788279999999999,0.5505479999999999,287.06020903871644,957.5795831121699
Fasciola cinerea,0.0,0.0,0.0,0.0100559999999999,0.0097799999999999,0.019836,0.0,0.0
Fastigial nucleus,0.0,41.0,41.0,0.06446,0.065708,0.130168,0.0,623.9727278261398
Field CA1,2.0,0.0,2.0,1.75303,1.584686,3.337716,1.1408817875335846,0.0
Field CA2,0.0,0.0,0.0,0.0980849999999999,0.086175,0.1842599999999999,0.0,0.0
Field CA3,2.0,0.0,2.0,1.513309,1.241994,2.755303,1.321607153595201,0.0
Fields of Forel,0.0,0.0,0.0,0.056442,0.057224,0.1136659999999999,0.0,0.0
Flocculus,0.0,0.0,0.0,0.177928,0.162231,0.340159,0.0,0.0
