structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Inferior salivatory nucleus,0.0,0.0,0.0,0.000579,0.000636,0.001215,0.0,0.0
Infracerebellar nucleus,0.0,0.0,0.0,0.003364,0.0034739999999999,0.0068379999999999,0.0,0.0
"Infralimbic area, layer 1",0.0,0.0,0.0,0.0100629999999999,0.011224,0.021287,0.0,0.0
"Infralimbic area, layer 2/3",0.0,0.0,0.0,0.0098599999999999,0.009892,0.019752,0.0,0.0
"Infralimbic area, layer 5",0.0,0.0,0.0,0.0237399999999999,0.022978,0.0467179999999999,0.0,0.0
"Infralimbic area, layer 6a",0.0,0.0,0.0,0.0151049999999999,0.014208,0.029313,0.0,0.0
"Infralimbic area, layer 6b",0.0,0.0,0.0,0.000824,0.000718,0.001542,0.0,0.0
Interanterodorsal nucleus of the thalamus,0.0,0.0,0.0,0.009079,0.008902,0.017981,0.0,0.0
Interanteromedial nucleus of the thalamus,0.0,0.0,0.0,0.003362,0.003505,0.006867,0.0,0.0
Intercalated amygdalar nucleus,0.0,0.0,0.0,0.009625,0.0128589999999999,0.0224839999999999,0.0,0.0
Interfascicular nucleus raphe,0.0,0.0,0.0,0.006965,0.0078109999999999,0.014776,0.0,0.0
Intergeniculate leaflet of the lateral geniculate complex,0.0,0.0,0.0,0.005893,0.00511,0.0110029999999999,0.0,0.0
Intermediate geniculate nucleus,0.0,0.0,0.0,0.001973,0.0017499999999999,0.0037229999999999,0.0,0.0
Intermediate reticular nucleus,0.0,0.0,0.0,0.297438,0.307027,0.604465,0.0,0.0
Intermediodorsal nucleus of the thalamus,0.0,0.0,0.0,0.0150409999999999,0.016958,0.031999,0.0,0.0
Interpeduncular nucleus,0.0,0.0,0.0,0.000908,0.001018,0.001926,0.0,0.0
"Interpeduncular nucleus, apical",0.0,0.0,0.0,0.001981,0.002385,0.004366,0.0,0.0
"Interpeduncular nucleus, caudal",0.0,0.0,0.0,0.0053479999999999,0.0061329999999999,0.0114809999999999,0.0,0.0
"Interpeduncular nucleus, dorsolateral",0.0,0.0,0.0,0.0031639999999999,0.003248,0.0064119999999999,0.0,0.0
"Interpeduncular nucleus, dorsomedial",0.0,0.0,0.0,0.0016129999999999,0.001664,0.0032769999999999,0.0,0.0
"Interpeduncular nucleus, intermediate",0.0,0.0,0.0,0.002636,0.002728,0.005364,0.0,0.0
"Interpeduncular nucleus, lateral",0.0,0.0,0.0,0.005052,0.005251,0.010303,0.0,0.0
"Interpeduncular nucleus, rostral",0.0,0.0,0.0,0.006286,0.007147,0.013433,0.0,0.0
"Interpeduncular nucleus, rostrolateral",0.0,0.0,0.0,0.001553,0.0015789999999999,0.003132,0.0,0.0
Interposed nucleus,0.0,0.0,0.0,0.050192,0.0503,0.100492,0.0,0.0
Interstitial nucleus of Cajal,0.0,0.0,0.0,0.0071579999999999,0.007175,0.0143329999999999,0.0,0.0
Intertrigeminal nucleus,0.0,0.0,0.0,0.0032549999999999,0.003753,0.0070079999999999,0.0,0.0
Koelliker-Fuse subnucleus,0.0,0.0,0.0,0.011873,0.0133999999999999,0.0252729999999999,0.0,0.0
Lateral amygdalar nucleus,16.0,0.0,16.0,0.068994,0.061214,0.130208,231.9042235556715,0.0
Lateral dorsal nucleus of thalamus,0.0,0.0,0.0,0.0982909999999999,0.079986,0.178277,0.0,0.0
Lateral habenula,0.0,0.0,0.0,0.028235,0.026302,0.054537,0.0,0.0
Lateral hypothalamic area,0.0,0.0,0.0,0.162176,0.1779899999999999,0.3401659999999999,0.0,0.0
Lateral mammillary nucleus,0.0,0.0,0.0,0.006234,0.0058969999999999,0.012131,0.0,0.0
Lateral posterior nucleus of the thalamus,0.0,0.0,0.0,0.106454,0.093442,0.199896,0.0,0.0
Lateral preoptic area,0.0,0.0,0.0,0.0389469999999999,0.043496,0.0824429999999999,0.0,0.0
"Lateral reticular nucleus, magnocellular part",0.0,0.0,0.0,0.051143,0.058768,0.109911,0.0,0.0
"Lateral reticular nucleus, parvicellular part",0.0,0.0,0.0,0.004532,0.0053669999999999,0.0098989999999999,0.0,0.0
"Lateral septal nucleus, caudal (caudodorsal) part",0.0,0.0,0.0,0.042078,0.036979,0.0790569999999999,0.0,0.0
"Lateral septal nucleus, rostral (rostroventral) part",0.0,0.0,0.0,0.140044,0.1362509999999999,0.2762949999999999,0.0,0.0
"Lateral septal nucleus, ventral part",0.0,0.0,0.0,0.042612,0.043932,0.086544,0.0,0.0
Lateral terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.001429,0.001352,0.0027809999999999,0.0,0.0
Lateral vestibular nucleus,0.0,0.0,0.0,0.019035,0.020616,0.039651,0.0,0.0
"Lateral visual area, layer 1",0.0,0.0,0.0,0.0150169999999999,0.015012,0.030029,0.0,0.0
"Lateral visual area, layer 2/3",0.0,0.0,0.0,0.022198,0.0220129999999999,0.044211,0.0,0.0
"Lateral visual area, layer 4",0.0,0.0,0.0,0.012078,0.011953,0.024031,0.0,0.0
"Lateral visual area, layer 5",0.0,0.0,0.0,0.0198589999999999,0.019715,0.039574,0.0,0.0
"Lateral visual area, layer 6a",0.0,0.0,0.0,0.012329,0.0123369999999999,0.024666,0.0,0.0
"Lateral visual area, layer 6b",0.0,0.0,0.0,0.0022619999999999,0.002266,0.0045279999999999,0.0,0.0
Laterodorsal tegmental nucleus,0.0,0.0,0.0,0.019393,0.019561,0.038954,0.0,0.0
"Laterointermediate area, layer 1",0.0,0.0,0.0,0.006333,0.005843,0.012176,0.0,0.0
"Laterointermediate area, layer 2/3",0.0,0.0,0.0,0.009119,0.008479,0.017598,0.0,0.0
"Laterointermediate area, layer 4",0.0,0.0,0.0,0.004118,0.0038799999999999,0.007998,0.0,0.0
"Laterointermediate area, layer 5",0.0,0.0,0.0,0.009799,0.009413,0.019212,0.0,0.0
"Laterointermediate area, layer 6a",0.0,0.0,0.0,0.0049299999999999,0.004863,0.009793,0.0,0.0
