structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Supplemental somatosensory area, layer 5",1389.0,835.0,2224.0,0.4834219999999999,0.49089,0.974312,2873.266007753061,1700.9920756177555
"Supplemental somatosensory area, layer 6a",92.0,83.0,175.0,0.4568899999999999,0.461462,0.918352,201.36137801221304,179.8631306586458
"Supplemental somatosensory area, layer 6b",0.0,1.0,1.0,0.048096,0.04797,0.096066,0.0,20.846362309776943
Suprachiasmatic nucleus,0.0,1.0,1.0,0.031615,0.032706,0.0643209999999999,0.0,30.575429584785667
Suprageniculate nucleus,0.0,0.0,0.0,0.044238,0.043168,0.087406,0.0,0.0
Supragenual nucleus,0.0,0.0,0.0,0.003871,0.004036,0.0079069999999999,0.0,0.0
Supramammillary nucleus,0.0,0.0,0.0,0.046757,0.0521299999999999,0.098887,0.0,0.0
Supraoculomotor periaqueductal gray,0.0,0.0,0.0,0.0098599999999999,0.010286,0.0201459999999999,0.0,0.0
Supraoptic nucleus,1.0,1.0,2.0,0.013191,0.01574,0.028931,75.80926389204761,63.53240152477763
Supratrigeminal nucleus,90.0,84.0,174.0,0.0649189999999999,0.067937,0.1328559999999999,1386.3429812535644,1236.4396426100652
"Taenia tecta, dorsal part",1.0,0.0,1.0,0.109286,0.1256489999999999,0.2349349999999999,9.150302875025163,0.0
"Taenia tecta, ventral part",1.0,0.0,1.0,0.171365,0.168689,0.3400539999999999,5.8354973302599715,0.0
Tegmental reticular nucleus,0.0,3.0,3.0,0.176311,0.194732,0.371043,0.0,15.405788468253807
"Temporal association areas, layer 1",0.0,0.0,0.0,0.1338629999999999,0.119294,0.2531569999999999,0.0,0.0
"Temporal association areas, layer 2/3",0.0,0.0,0.0,0.15975,0.142348,0.302098,0.0,0.0
"Temporal association areas, layer 4",0.0,0.0,0.0,0.067106,0.060992,0.128098,0.0,0.0
"Temporal association areas, layer 5",74.0,14.0,88.0,0.198716,0.179672,0.378388,372.39074860605086,77.91976490493789
"Temporal association areas, layer 6a",21.0,32.0,53.0,0.113772,0.106892,0.220664,184.57968568716382,299.3675859746286
"Temporal association areas, layer 6b",0.0,0.0,0.0,0.018059,0.017551,0.03561,0.0,0.0
Thalamus,0.0,4.0,4.0,0.253285,0.2654749999999999,0.5187599999999999,0.0,15.067332140502877
Triangular nucleus of septum,0.0,0.0,0.0,0.104958,0.1098219999999999,0.2147799999999999,0.0,0.0
Trochlear nucleus,0.0,0.0,0.0,0.0014039999999999,0.001439,0.002843,0.0,0.0
Tuberal nucleus,3.0,23.0,26.0,0.120935,0.1285069999999999,0.249442,24.806714350684253,178.97857704249589
"Tuberomammillary nucleus, dorsal part",0.0,0.0,0.0,0.006004,0.0061839999999999,0.012188,0.0,0.0
"Tuberomammillary nucleus, ventral part",0.0,0.0,0.0,0.015207,0.018431,0.033638,0.0,0.0
Uvula (IX),0.0,0.0,0.0,0.446741,0.472545,0.919286,0.0,0.0
