brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp
,Spinal vestibular nucleus,75,71,146,0.584344,0.606418,1.190762,70.16414988,633.2265863,,,Spinal vestibular nucleus,36,84,120,0.01402,0.013801,0.027821,0,0,26,,,Spinal vestibular nucleus,162,185,347,0.015185,0.014448,0.029633,0,0,-201,,,Spinal vestibular nucleus,17,61,78,0.663159,0.701022,1.364181,25.63487791,87.01581405,68,,,Spinal vestibular nucleus,4,202,206,0.639484,0.625941,1.265425,6.255043129,322.7141216,-60,,,Spinal vestibular nucleus,54,128,182,0.639484,0.625941,1.265425,84.44308224,204.4921167,-36
,Lateral vestibular nucleus,25,36,61,0.052971,0.054263,0.107234,0,0,,,Lateral vestibular nucleus,1,7,8,0.052867,0.057357000000000005,0.110224,0,0,53,,,Lateral vestibular nucleus,176,71,247,0.060279,0.05844,0.118719,0,0,-186,,,Lateral vestibular nucleus,9,13,22,0.199431,0.226047,0.425478,45.12839027,57.51016382,39,,,Lateral vestibular nucleus,27,172,199,0.220364,0.163126,0.38349,122.5245503,1054.399667,-138,,,Lateral vestibular nucleus,15,16,31,0.220364,0.163126,0.38349,68.06919461,98.08368991,30
,Cuneiform nucleus,3,12,15,0.767724,0.66456,1.432284,0,0,,,Cuneiform nucleus,0,0,0,0.267023,0.278962,0.5459849999999999,0,0,15,,,Cuneiform nucleus,138,49,187,0.473604,0.378529,0.852133,291.3826741,129.4484703,-172,,,Cuneiform nucleus,24,10,34,0.473604,0.378529,0.852133,50.67524768,26.41805516,-19,,,Cuneiform nucleus,0,80,80,0.348806,0.382335,0.731141,0,209.2405874,-65,,,Cuneiform nucleus,0,0,0,0.348806,0.382335,0.731141,0,0,15
,Nucleus of reuniens,0,2,2,0.02185,0.018841,0.040691,0,0,,,Nucleus of reuniens,22,20,42,0.05468,0.054612,0.10929200000000001,0,0,-40,,,Nucleus of reuniens,118,44,162,0.083505,0.084136,0.167641,0,106.9696682,-160,,,Nucleus of reuniens,436,325,761,0.285246,0.337835,0.623081,1528.50522,962.0080809,-759,,,Nucleus of reuniens,2,5,7,0.224651,0.243234,0.467885,8.902697963,20.5563367,-5,,,Nucleus of reuniens,56,55,111,0.224651,0.243234,0.467885,249.275543,226.1197037,-109
,Ventral medial nucleus of the thalamus,0,2,2,0.022646,0.026655,0.049301,0,0,,,Ventral medial nucleus of the thalamus,4,0,4,,,,,,-2,,,Ventral medial nucleus of the thalamus,124,34,158,,,,,,-156,,,Ventral medial nucleus of the thalamus,75,52,127,0.836961,0.942571,1.779532,89.60991014,55.16825788,-125,,,Ventral medial nucleus of the thalamus,7,14,21,0.790367,0.870356,1.660723,8.856645078,16.08537196,-19,,,Ventral medial nucleus of the thalamus,0,12,12,0.790367,0.870356,1.660723,0,13.78746168,-10
,Interposed nucleus,60,84,144,0.007526,0.009309,0.016835,0,0,,,Interposed nucleus,0,0,0,0.7948890000000001,0.846816,1.641705,0,0,144,,,Interposed nucleus,109,184,293,1.021358,0.9781,1.999458,0,0,-149,,,Interposed nucleus,0,0,0,0.585078,0.580442,1.16552,0,0,144,,,Interposed nucleus,5,346,351,0.591678,0.565357,1.157035,8.450542356,612.0026815,-207,,,Interposed nucleus,0,0,0,0.591678,0.565357,1.157035,0,0,144
,Pontine central gray,26,16,42,0.66633,0.680424,1.346754,1217.114643,1102.253889,,,Pontine central gray,141,141,282,0.011939,0.012296,0.024235,0,0,-240,,,Pontine central gray,65,110,175,0.01233,0.011799,0.024129,0,0,-133,,,Pontine central gray,46,146,192,0.389249,0.393812,0.783061,118.176283,370.7352747,-150,,,Pontine central gray,113,0,113,0.336656,0.336473,0.673129,335.6541989,0,-71,,,Pontine central gray,178,234,412,0.336656,0.336473,0.673129,528.7296231,695.4495606,-370
,Perireunensis nucleus,0,1,1,0.062859,0.060304,0.123163,0,0,,,Perireunensis nucleus,0,10,10,0.056245,0.057696000000000004,0.113941,0,0,-9,,,Perireunensis nucleus,79,52,131,0.061728,0.047487,0.109215,0,0,-130,,,Perireunensis nucleus,45,73,118,0.116396,0.152149,0.268545,386.6112238,479.7928347,-117,,,Perireunensis nucleus,2,0,2,0.091983,0.10321,0.195193,21.74314819,0,-1,,,Perireunensis nucleus,0,10,10,0.091983,0.10321,0.195193,0,96.88983626,-9
,Submedial nucleus of the thalamus,0,0,0,0.034119,0.038793,0.072912,58.61836513,0,,,Submedial nucleus of the thalamus,0,0,0,0.187551,0.186402,0.37395300000000004,0,0,0,,,Submedial nucleus of the thalamus,68,47,115,0.259306,0.28682,0.546126,38.56447595,52.29760826,-115,,,Submedial nucleus of the thalamus,82,65,147,0.241831,0.324632,0.566463,339.0797706,200.2267183,-147,,,Submedial nucleus of the thalamus,0,0,0,0.196382,0.20901,0.405392,0,0,0,,,Submedial nucleus of the thalamus,0,0,0,0.196382,0.20901,0.405392,0,0,0
,Edinger-Westphal nucleus,0,0,0,0.180947,0.180739,0.361686,0,60.8612419,,,Edinger-Westphal nucleus,24,17,41,0.012396,0.012383,0.024779,1936.108422071636,1372.8498748283937,-41,,,Edinger-Westphal nucleus,27,60,87,0.023859,0.023059,0.046918,1131.648435,2602.020903,-87,,,Edinger-Westphal nucleus,30,27,57,0.023859,0.023059,0.046918,1257.38715,1170.909406,-57,,,Edinger-Westphal nucleus,58,71,129,0.014569,0.014592,0.029161,3981.055666,4865.679825,-129,,,Edinger-Westphal nucleus,0,1,1,0.014569,0.014592,0.029161,0,68.53070175,-1
