label,y,x,area,mean_intensity,max_intensity,median_intensity,fold_change,is_positive,background_value
446,1914.9650349650349,1662.048951048951,143.0,47.46853256225586,137.0,41.0,1.1671640377099046,False,40.669975
448,1917.8914342629482,1486.4213147410358,1004.0,41.80577850341797,874.0,31.0,1.0279273152937844,False,40.669975
449,1924.65,314.2125,80.0,43.63750076293945,138.0,42.0,1.072966001618926,False,40.669975
450,1925.6738197424893,1577.9172286940527,1631.0,43.70570373535156,189.0,40.0,1.0746429874528556,False,40.669975
451,1926.4827586206898,850.7068965517242,58.0,46.31034469604492,128.0,44.0,1.1386863251414685,False,40.669975
452,1928.7978436657681,1635.2695417789757,371.0,50.01617431640625,162.0,47.0,1.2298058695911134,False,40.669975
454,1927.4666666666667,1684.6166666666666,60.0,44.68333435058594,138.0,45.0,1.0986811288209135,False,40.669975
455,1940.7532467532467,1556.029684601113,1078.0,40.408164978027344,164.0,38.0,0.9935625654816117,False,40.669975
456,1933.1774744027305,755.7440273037543,293.0,48.109214782714844,152.0,44.0,1.1829172368706145,False,40.669975
457,1932.977358490566,1657.8169811320754,530.0,48.056602478027344,166.0,44.5,1.1816235969231028,False,40.669975
458,1936.01652892562,780.304132231405,605.0,46.252891540527344,180.0,42.0,1.1372736575624753,False,40.669975
460,1946.9666666666667,820.3733333333333,150.0,41.026668548583984,109.0,39.5,1.0087704323732647,False,40.669975
461,1955.2313167259786,761.8594306049822,562.0,44.284698486328125,133.0,41.0,1.088879405030676,False,40.669975
463,1959.3698630136987,1283.8698630136987,146.0,42.60274124145508,100.0,40.0,1.047523165365867,False,40.669975
464,1962.491349480969,1268.4878892733564,289.0,43.4290657043457,134.0,42.0,1.0678409663280304,False,40.669975
465,1963.960396039604,1181.3069306930693,101.0,44.861385345458984,135.0,37.0,1.1030590757865533,False,40.669975
466,1964.275,1953.425,80.0,25.5,73.0,22.5,0.6269981681563098,False,40.669975
467,1963.2643678160919,834.1494252873563,87.0,39.18390655517578,100.0,35.0,0.9634602992667936,False,40.669975
468,1969.350067842605,790.3785617367707,737.0,46.09497833251953,168.0,42.0,1.1333908617919426,False,40.669975
469,1967.9411764705883,931.0588235294117,51.0,38.568626403808594,147.0,37.0,0.9483316903330616,False,40.669975
470,1968.7241379310344,1536.7931034482758,58.0,35.344825744628906,105.0,35.5,0.8690643527720119,False,40.669975
471,1973.3402777777778,904.3194444444445,144.0,37.02777862548828,135.0,35.0,0.9104450732971967,False,40.669975
473,1974.0723684210527,757.0921052631579,152.0,45.019737243652344,134.0,41.5,1.106952658143075,False,40.669975
474,1975.7411764705882,836.8705882352941,85.0,44.36470413208008,172.0,34.0,1.090846596925917,False,40.669975
475,1978.5740740740741,741.0370370370371,108.0,47.86111068725586,207.0,43.5,1.1768168128170904,False,40.669975
476,1981.5987654320988,861.0617283950618,162.0,41.80864334106445,115.0,37.0,1.0279977563901141,False,40.669975
477,1979.7611940298507,1599.0298507462687,67.0,44.05970001220703,99.0,46.0,1.0833471057713864,False,40.669975
478,1986.2459893048128,1286.9322638146168,561.0,48.52762985229492,218.0,44.0,1.1932052949943674,False,40.669975
479,1986.8982300884957,803.2964601769911,226.0,43.33628463745117,153.0,38.5,1.0655596502895026,False,40.669975
480,1990.7333333333333,888.6133333333333,75.0,38.20000076293945,131.0,35.0,0.9392678628208893,False,40.669975
481,1989.8474576271187,833.2372881355932,59.0,41.40678024291992,109.0,35.0,1.0181166808455557,False,40.669975
482,1993.5645161290322,1588.6129032258063,124.0,198.02420043945312,2406.0,53.0,4.869051408868825,True,40.669975
483,1991.1785714285713,870.625,56.0,40.14285659790039,124.0,36.5,0.9870391196645091,False,40.669975
484,1991.3283582089553,1266.69776119403,268.0,43.708953857421875,154.0,36.0,1.074722901985576,False,40.669975
485,1996.4117647058824,1686.7205882352941,68.0,47.22058868408203,133.0,43.5,1.1610675531051766,False,40.669975
486,2002.8991596638655,768.3053221288516,357.0,44.53501510620117,167.0,42.0,1.0950342309961458,False,40.669975
488,2002.367816091954,1305.6781609195402,348.0,43.307472229003906,155.0,38.5,1.0648512060810083,False,40.669975
489,2003.1298701298701,1659.974025974026,77.0,46.701297760009766,139.0,42.0,1.148299142982294,False,40.669975
490,2005.4675324675325,901.5324675324675,231.0,38.21644973754883,127.0,36.0,0.9396723128972864,False,40.669975
491,2005.4915254237287,1599.3389830508474,59.0,42.76271057128906,126.0,36.0,1.0514565173959494,False,40.669975
492,2005.925,805.975,80.0,40.587501525878906,110.0,39.5,0.9979721218340197,False,40.669975
495,2014.18125,1617.775,160.0,44.724998474121094,148.0,41.0,1.0997055731006933,False,40.669975
496,2015.1004784688996,1663.9043062200958,209.0,50.49760818481445,148.0,44.0,1.2416434442413231,False,40.669975
498,2018.0322997416022,1229.3643410852712,2322.0,46.860897064208984,196.0,43.0,1.1522233967615856,False,40.669975
499,2022.3144104803494,1641.0349344978165,687.0,49.0174674987793,187.0,46.0,1.2052495031135715,False,40.669975
500,2022.1772151898733,756.2911392405064,79.0,46.16455841064453,104.0,44.0,1.1351017081262387,False,40.669975
501,2020.857142857143,787.1642857142857,280.0,47.04999923706055,180.0,44.0,1.1568730718977545,False,40.669975
502,2022.4259259259259,982.2222222222222,54.0,22.296297073364258,47.0,22.5,0.548224996928168,False,40.669975
503,2031.2159468438538,1610.9667774086379,301.0,45.10963439941406,161.0,43.0,1.1091630641032735,False,40.669975
504,2024.7058823529412,1184.4705882352941,51.0,39.2156867980957,121.0,35.0,0.9642417170744152,False,40.669975
505,2028.1746031746031,827.5555555555555,63.0,40.4603157043457,147.0,38.0,0.9948448560647345,False,40.669975
